run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_metric_unmeasured_tool_calls,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-01-current-task-baseline,formal run,current-task,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,3628,True,True,0,0,0,13.563,21242,19200,957,647
formal-01-current-task-layered,formal run,current-task,layered,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,575,True,True,0,0,0,12.663,20621,19200,626,375
formal-01-reference-retrieval-baseline,formal run,reference-retrieval,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,2,4281,True,True,0,0,0,11.091,32417,30208,369,126
formal-01-reference-retrieval-layered,formal run,reference-retrieval,layered,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,3,811,True,True,0,0,0,13.992,31240,29696,740,411
formal-01-stable-rules-baseline,formal run,stable-rules,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,3628,True,True,0,0,0,11.973,21072,19072,566,267
formal-01-stable-rules-layered,formal run,stable-rules,layered,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,1193,True,True,0,0,0,12.274,20781,19200,663,338
formal-02-current-task-baseline,formal run,current-task,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,3,3961,True,True,0,0,0,15.776,32459,30208,1057,645
formal-02-current-task-layered,formal run,current-task,layered,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,575,True,True,0,0,0,10.989,20621,19200,700,433
formal-02-reference-retrieval-baseline,formal run,reference-retrieval,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,2,4281,True,True,0,0,0,12.114,32382,30080,528,213
formal-02-reference-retrieval-layered,formal run,reference-retrieval,layered,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,4,1091,True,True,0,0,0,17.945,42612,40832,901,515
formal-02-stable-rules-baseline,formal run,stable-rules,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,3628,True,True,0,0,0,11.148,21041,19072,772,383
formal-02-stable-rules-layered,formal run,stable-rules,layered,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,1193,True,True,0,0,0,11.871,20811,19328,871,501
formal-03-current-task-baseline,formal run,current-task,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,2,3956,True,True,0,0,0,15.34,31950,29696,919,562
formal-03-current-task-layered,formal run,current-task,layered,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,2,1096,True,True,0,0,0,12.894,31363,29696,538,262
formal-03-reference-retrieval-baseline,formal run,reference-retrieval,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,2,4058,True,True,0,0,0,14.826,32819,30464,782,500
formal-03-reference-retrieval-layered,formal run,reference-retrieval,layered,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,5,1614,True,True,0,0,0,17.884,42474,40448,808,359
formal-03-stable-rules-baseline,formal run,stable-rules,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,3628,True,True,0,0,0,11.073,21067,19072,673,320
